frame_index,plugin_timestamp,producer_timestamp,write_to_buffer_time,read_from_buffer_time,write_to_led_buffer_time,read_from_led_buffer_time,render_time,item_duration
76,0.0,5.000000000000002,1753497019.3704238,1753497019.373735,1753497019.4405832,1753497019.44144,1753497019.465777,5.0
77,0.06666666666666667,5.066666666666668,1753497019.4252815,1753497019.4425588,1753497019.5095968,1753497019.510395,1753497019.5298703,5.0
78,0.13333333333333333,5.1333333333333355,1753497019.4730263,1753497019.511487,1753497019.5600061,1753497019.5606904,1753497019.5935664,5.0
79,0.2,5.200000000000002,1753497019.5038366,1753497019.5615833,1753497019.6160405,1753497019.616724,1753497019.666872,5.0
80,0.26666666666666666,5.266666666666668,1753497019.534251,1753497019.6176376,1753497019.6783478,1753497019.6789813,1753497019.734441,5.0
81,0.3333333333333333,5.333333333333335,1753497019.57557,1753497019.6800203,1753497019.7439117,1753497019.7445247,1753497019.802092,5.0
82,0.39999999999999997,5.400000000000002,1753497019.636447,1753497019.7454603,1753497019.8087466,1753497019.8093843,1753497019.8608246,5.0
83,0.4666666666666666,5.466666666666669,1753497019.7059371,1753497019.810264,1753497019.8760426,1753497019.8767345,1753497019.9410894,5.0
84,0.5333333333333333,5.533333333333335,1753497019.7725015,1753497019.8778224,1753497019.9444752,1753497019.9451203,1753497020.0020988,5.0
85,0.6,5.600000000000001,1753497019.8400328,1753497019.9460795,1753497020.010681,1753497020.011347,1753497020.0684526,5.0
86,0.6666666666666666,5.666666666666669,1753497019.908067,1753497020.012463,1753497020.0774834,1753497020.0781338,1753497020.135146,5.0
87,0.7333333333333333,5.733333333333335,1753497019.976251,1753497020.0791545,1753497020.141719,1753497020.1423757,1753497020.2056665,5.0
88,0.7999999999999999,5.800000000000002,1753497020.042351,1753497020.143511,1753497020.1916006,1753497020.2058296,1753497020.2703838,5.0
89,0.8666666666666666,5.866666666666668,1753497020.1100452,1753497020.193171,1753497020.2511024,1753497020.2706265,1753497020.331058,5.0
90,0.9333333333333332,5.933333333333335,1753497020.1755192,1753497020.252501,1753497020.3062594,1753497020.3312159,1753497020.3941712,5.0
91,0.9999999999999999,6.000000000000002,1753497020.2151759,1753497020.3072672,1753497020.3608341,1753497020.3943408,1753497020.467144,5.0
92,1.0666666666666667,6.066666666666668,1753497020.2727861,1753497020.3618662,1753497020.4157627,1753497020.46768,1753497020.5420108,5.0
93,1.1333333333333333,6.133333333333335,1753497020.331849,1753497020.4188173,1753497020.476376,1753497020.542559,1753497020.60649,5.0
94,1.2,6.200000000000002,1753497020.3873246,1753497020.47744,1753497020.5356188,1753497020.6066458,1753497020.6701996,5.0
95,1.2666666666666666,6.266666666666668,1753497020.4455786,1753497020.5390086,1753497020.5988286,1753497020.6703496,1753497020.734117,5.0
96,1.3333333333333333,6.333333333333335,1753497020.5026937,1753497020.6002383,1753497020.6596537,1753497020.7362435,1753497020.79815,5.0
97,1.4,6.400000000000002,1753497020.5649655,1753497020.6608746,1753497020.7172604,1753497020.7985063,1753497020.8644953,5.0
98,1.4666666666666666,6.466666666666669,1753497020.6286793,1753497020.718929,1753497020.7752361,1753497020.8646574,1753497020.925369,5.0
99,1.5333333333333332,6.533333333333335,1753497020.6903412,1753497020.7764528,1753497020.8319156,1753497020.9256675,1753497020.995449,5.0
100,1.5999999999999999,6.600000000000001,1753497020.746898,1753497020.8330257,1753497020.888327,1753497020.9956417,1753497021.0755565,5.0
101,1.6666666666666665,6.666666666666668,1753497020.8032386,1753497020.8894348,1753497020.946433,1753497021.0757253,1753497021.1235156,5.0
102,1.7333333333333332,6.733333333333335,1753497020.8592162,1753497020.9477258,1753497021.0054166,1753497021.1236365,1753497021.1926625,5.0
103,1.7999999999999998,6.800000000000002,1753497020.9168746,1753497021.0066483,1753497021.0645254,1753497021.1928816,1753497021.273973,5.0
104,1.8666666666666665,6.866666666666668,1753497020.9711914,1753497021.0658925,1753497021.1223176,1753497021.274133,1753497021.3327825,5.0
105,1.9333333333333331,6.933333333333335,1753497021.0336342,1753497021.1237893,1753497021.1637003,1753497021.3331003,1753497021.3985696,5.0
106,1.9999999999999998,7.000000000000002,1753497021.0935698,1753497021.1647234,1753497021.210922,1753497021.3987296,1753497021.464376,5.0
